Report Number,Supplemental Number,Accident Date/Time,Operator ID,Pipeline Location,Pipeline Type,Liquid Type,Accident State,Cause Category,Cause Subcategory,Net Loss (Barrels),Shutdown Date/Time,All Costs
20100016,17305,1/1/2010 7:15 AM,32109,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",KS,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,21.0,,1627
20100254,17331,1/4/2010 8:30 AM,15786,ONSHORE,ABOVEGROUND,CRUDE OIL,ME,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,4008
20100038,17747,1/5/2010 10:30 AM,20160,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LA,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,2.0,,200
20100260,18574,1/6/2010 7:30 PM,11169,ONSHORE,UNDERGROUND,CRUDE OIL,WI,NATURAL FORCE DAMAGE,TEMPERATURE,0.0,,11540
20100030,16276,1/7/2010 1:00 PM,300,ONSHORE,UNDERGROUND,CRUDE OIL,TX,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,2.0,,29650
20100021,17161,1/8/2010 11:38 PM,11169,ONSHORE,UNDERGROUND,CRUDE OIL,ND,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,2237.0,1/8/2010 23:41,4194715
20110036,18052,1/9/2010 12:15 AM,26041,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,5.0,,70400
20100255,18584,1/9/2010 1:12 AM,12624,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",TX,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,,413
20100261,18050,1/10/2010 7:46 PM,26041,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,,40336
20100024,18390,1/11/2010 2:30 PM,31684,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,ALL OTHER CAUSES,MISCELLANEOUS,0.0,,30050
20100150,15205,1/11/2010 2:30 PM,32296,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LA,NATURAL FORCE DAMAGE,TEMPERATURE,2237.0,1/11/2010 14:45,165593
20100262,15399,1/11/2010 2:47 PM,31454,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.0,1/11/2010 14:55,357269
20100234,18134,1/11/2010 3:00 PM,9175,ONSHORE,UNDERGROUND,CRUDE OIL,KS,CORROSION,INTERNAL,1.0,1/11/2010 15:10,12150
20100026,17874,1/11/2010 11:00 PM,31684,ONSHORE,TANK,CRUDE OIL,OK,NATURAL FORCE DAMAGE,TEMPERATURE,2.0,,37850
20100106,17751,1/12/2010 10:25 AM,26085,ONSHORE,ABOVEGROUND,CRUDE OIL,OK,CORROSION,INTERNAL,0.0,1/12/2010 10:25,20333
20100082,17824,1/12/2010 2:30 PM,32080,ONSHORE,ABOVEGROUND,CRUDE OIL,IL,INCORRECT OPERATION,INCORRECT INSTALLATION,0.0,,32500
20100037,18592,1/12/2010 7:08 PM,12105,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OK,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,445.0,1/12/2010 19:08,2517615
20100025,17505,1/13/2010 7:36 AM,31174,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LA,NATURAL FORCE DAMAGE,TEMPERATURE,3.49,,254
20110071,18051,1/13/2010 1:30 PM,26041,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,0.0,,30504
20100100,17975,1/13/2010 3:30 PM,22855,ONSHORE,ABOVEGROUND,CRUDE OIL,MN,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0.48,,66679
20100057,17557,1/14/2010 1:15 PM,10250,ONSHORE,ABOVEGROUND,CRUDE OIL,NY,NATURAL FORCE DAMAGE,TEMPERATURE,0.04,,75017
20110083,17836,1/15/2010 7:05 AM,31325,ONSHORE,ABOVEGROUND,CRUDE OIL,CA,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0.0,,4575000
20100231,15700,1/15/2010 3:00 PM,9175,ONSHORE,UNDERGROUND,CRUDE OIL,KS,CORROSION,INTERNAL,3.0,1/15/2010 15:10,3880
20100071,17807,1/18/2010 10:00 AM,19237,ONSHORE,TANK,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",IN,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,2.0,,1100
20100031,17419,1/19/2010 1:10 PM,22610,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",CO,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.89,,26000
20100087,18354,1/19/2010 8:00 PM,4805,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IL,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,1.0,1/19/2010 20:01,46185
20100091,17835,1/21/2010 9:30 AM,31325,ONSHORE,TANK,CRUDE OIL,CA,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.0,,7807
20100177,15873,1/21/2010 12:30 PM,15674,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",LA,NATURAL FORCE DAMAGE,TEMPERATURE,0.0,1/21/2010 12:30,200570
20100257,17800,1/21/2010 6:43 PM,15674,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MS,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,2800
20120021,17357,1/22/2010 12:05 PM,10012,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",KS,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0.0,,8867
20100072,17806,1/24/2010 12:30 PM,19237,ONSHORE,TANK,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",IN,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,1.0,,2100
20100017,20768,1/25/2010 11:07 AM,11733,ONSHORE,ABOVEGROUND,CRUDE OIL,LA,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0.0,1/25/2010 23:42,667000
20100018,17492,1/27/2010 3:30 PM,31174,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,ALL OTHER CAUSES,MISCELLANEOUS,0.6,,60065
20100084,17313,1/28/2010 11:00 AM,1248,ONSHORE,ABOVEGROUND,CRUDE OIL,ND,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,7.0,1/28/2010 11:05,11170
20110376,17761,2/2/2010 8:00 AM,31476,ONSHORE,ABOVEGROUND,CRUDE OIL,KS,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,5.0,,6500
